course	uuid	node_id
csa	4f3404f2-f7ce-4332-816f-2c11010a92d6	2.9.A.1
csa	72e68860-5ea6-4e9d-b2ef-eaf5c6682da8	2.9.A.1
csa	bef526f9-97d5-4374-9f95-8c80c237b9dd	2.9.A.1
csa	c6ba53e5-860d-495e-a1a0-d73ffa817156	2.9.A.1
csa	d42c327b-63eb-4f50-9496-f4f492aa745c	2.9.A.1
csa	52192675-1aca-4537-a33a-03a4a740349a	3.1.A.1
csa	9eb1ebb9-1eff-47d4-8184-09b686b93014	3.1.A.1
csa	cb0a58e0-d134-4fd4-b012-9c9f09a91077	3.1.A.1
csa	133b2b8c-01c7-42d1-a7c0-ad069fb897c2	3.1.A.2
csa	39741a34-477f-41e3-8ad4-9606af3ffbbe	3.1.A.2
csa	bf50625a-316d-49a8-b334-6cb611ce119e	3.1.A.2
csa	7dc999e1-74c3-4fe5-9291-b9bb20eca36b	3.1.A.3
csa	9bee76da-4c74-4157-8777-73c245ba2686	3.1.A.3
csa	5cdce992-a7f5-4f9b-acb1-776ca65ac207	3.1.A.4
csa	69ef838d-16f0-44d1-a93e-1f181255c6a7	3.1.A.4
csa	93f26463-c8e2-4fa2-93ce-1f95d99bfbdf	3.1.A.4
csa	ae2e83a4-57cd-41a0-a295-3c0f87fbc810	3.1.A.4
csa	c2d2e2c6-6629-4cc4-a67a-b5c40d416d0e	3.1.A.5
csa	0179a3c9-6fc3-4497-922c-3521a0b32233	3.1.A.7
csa	65b1c6f0-2482-484d-bbf5-5b23632468e3	3.1.A.7
csa	c20be1b6-5a72-42e3-a52e-d19fb3e9cbeb	3.2.A.1
csa	80aa4074-1de5-434a-92bf-12739f39145f	3.2.A.2
csa	c998e915-669c-4d85-a186-bc7e9c28d4fe	3.2.A.3
csa	f08c561d-7f2a-4a33-a57c-e36cc86570b6	3.2.A.3
csa	13dfb0cd-74e9-423e-ba65-8209b0f36471	3.3.A.1
csa	bf9e3d59-9a3e-4238-af4f-034bfd4917e0	3.3.A.4
csa	e025a9dc-10a4-4a8f-82b9-2dd3f9897a2a	3.3.A.5
csa	4bf8eee5-759e-47cb-94b7-b262b2cca522	3.3.A.6
csa	4cbb0b49-7855-44df-a845-fd6445c0c59b	3.3.A.6
